cod_mdl|des_mdl
E02|ADIANTAMENTO DEPOSITANTE
B99|OUTROS FINANCIAMENTOS
D01|CARTAO DE CREDITO
G01|TITULOS DESCONTADOS
A02|EMPRESTIMO - CAPITAL DE GIRO
A04|EMPRESTIMO - CREDITO PESSOAL
E01|CHEQUE ESPECIAL E CONTA GARANTIDA
B03|FINANCIAMENTO - IMOBILIARIOS SFH
B02|FINANCIAMENTO - IMPORTACAO  E EXPORTACAO
A05|EMPRESTIMO - MICROCREDITO
B04|FINANCIAMENTO - MICROCREDITO
B07|FINANCIAMENTO - ARREENDAMENTO
F01|AVAIS E FIANCASA HONRADOS
B06|FINANCIAMENTO - IMOBILIARIO (OUTROS)
C01|CONSORCIO
A01|EMPRESTIMO - CONSIGNADO
B05|FINANCIAMENTO - AQUISICAO DE BENS (VEICULOS)
A99|OUTROS EMPRESTIMOS
B01|FINANCIAMENTO - RURAL E AGROINDUSTRIAL
